TCS #, Main , Side_1_Route ,Activation_Date,Latitude,Longitude,Count_Date,Peak_Hr_Vehicle_Volume,Peak_Hr_Pedestrian_Volume,Year,Day
901, ELLESMERE RD , NEILSON RD ,06/26/1970,43.78268,-79.20497,02-27-2016,10871,1490,2016,Saturday
902, MARTIN GROVE RD , MERCURY RD ,07/13/1970,43.72606,-79.58669,05-03-2016,10638,217,2016,Tuesday
903, DUNDAS ST E , SUMACH ST ,08/14/1970,43.6607,-79.36046,04-13-2015,8486,1513,2015,Monday
904, THE EAST MALL , EAST MALL CRES ,07/15/1970,43.63137,-79.55239,11-25-2014,13881,233,2014,Tuesday
905, EGLINTON AVE W , JANE ST ,11/27/1970,43.68451,-79.49881,08-18-2011,29408,1265,2011,Thursday
906, SHEPPARD AVE E , CONSUMERS RD ,06/22/1970,43.77516,-79.33122,10-17-2013,20361,1571,2013,Thursday
907, EGLINTON AVE W , THE EAST MALL ,01/01/1960,43.67188,-79.57128,12-07-2011,17176,127,2011,Wednesday
908, ISLINGTON AVE , JUTLAND RD ,10/21/1970,43.62899,-79.51697,09-18-2013,18102,708,2013,Wednesday
909, YONGE ST , GOULD ST ,08/28/1984,43.65742,-79.38134,11-05-2016,4591,11381,2016,Saturday
910, BLOOR ST W , SHAVER AVE N ,07/30/1970,43.63904,-79.54776,09-19-2012,14424,333,2012,Wednesday
911, THE QUEENSWAY , THE EAST MALL ,11/20/1969,43.61647,-79.54625,09-04-2013,28554,222,2013,Wednesday
912, THE QUEENSWAY , THE WEST MALL ,10/08/1970,43.61235,-79.56266,09-19-2017,28233,70,2017,Tuesday
913, BAY ST , ELM ST ,12/14/1970,43.65729,-79.38438,11-10-2016,12509,16952,2016,Thursday
914, WARDEN AVE , MANHATTAN DR ,10/12/1970,43.75196,-79.29739,05-05-2015,19109,230,2015,Tuesday
915, DUNDAS ST W , EAST MALL CRES ,05/15/1969,43.63041,-79.54983,02-14-2013,26788,850,2013,Thursday
916, YORK MILLS RD , LESMILL RD ,12/23/1970,43.75471,-79.35202,03-09-2016,20963,1872,2016,Wednesday
917, THE QUEENSWAY , NORTH QUEEN ST ,02/17/1971,43.61425,-79.55618,01-21-2009,26239,684,2009,Wednesday
918, BATHURST ST , VESTA DR ,12/23/1970,43.7034,-79.4259,04-01-2015,15765,1016,2015,Wednesday
919, KENNEDY RD , 401 C W KENNEDY RD RAMP ,08/21/1970,43.77626065,-79.28537348,12-12-2017,34082,49,2017,Tuesday
920, KENNEDY RD , 401 C E KENNEDY RD RAMP ,08/21/1970,43.77313402,-79.28407076,06-23-2011,36406,137,2011,Thursday
921, YONGE ST , CHARLES ST E ,06/30/1971,43.66869,-79.38609,08-11-2010,12471,12829,2010,Wednesday
922, PARLIAMENT ST , WINCHESTER ST ,06/05/1971,43.66588,-79.36861,02-29-2012,8778,4496,2012,Wednesday
923, EVANS AVE , EVANS CRT ,02/17/1971,43.60899,-79.55642,07-31-2013,13646,277,2013,Wednesday
924, BLOOR ST W , MILL RD ,06/24/1970,43.6320546,-79.5751457,09-18-2012,11986,826,2012,Tuesday
925, RENFORTH DR , RENFORTH 427 S RAMP ,09/15/1989,43.66763003,-79.5907752,07-20-2017,22639,8,2017,Thursday
926, EGLINTON AVE W , RENFORTH DR ,06/26/1970,43.66613,-79.5876,01-19-2017,24741,514,2017,Thursday
927, WARDEN AVE , ARKONA DR ,08/12/1972,43.77312,-79.30529,11-12-2014,23944,353,2014,Wednesday
928, KEELE ST , BROADOAKS DR ,12/07/1971,43.75745,-79.4895,02-23-2016,15375,1532,2016,Tuesday
929, THE WEST MALL , SHERWAY DR ,02/17/1971,43.60943,-79.56028,03-28-2011,13642,1478,2011,Monday
930, LAKE SHORE BLVD W , ONTARIO DR ,08/23/1959,43.630456,-79.419834,01-24-2018,24528,189,2018,Wednesday
931, ELLESMERE RD , DORMINGTON DR ,08/25/1971,43.77761,-79.2266,02-10-2016,13956,857,2016,Wednesday
932, LAWRENCE AVE E , CARNFORTH RD ,08/27/1971,43.74154,-79.31421,04-09-2009,27327,1123,2009,Thursday
933, JANE ST , YORKWOODS GT ,08/25/1971,43.75073,-79.51607,12-16-2014,14032,1355,2014,Tuesday
934, STEELES AVE E , LESLIE ST ,08/23/1971,43.80856,-79.37245,01-24-2018,28358,212,2018,Wednesday
935, STEELES AVE E , LAURELEAF RD S ,09/09/1971,43.8056,-79.38578,03-26-2014,21204,301,2014,Wednesday
936, RATHBURN RD , THE EAST MALL ,10/11/1970,43.65499,-79.56423,03-19-2008,11853,476,2008,Wednesday
937, RATHBURN RD , THE WEST MALL ,10/11/1970,43.65302,-79.57255,03-06-2017,13816,725,2017,Monday
